Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,id,t,pos.x,pos.y,pos.z,mean.x,mean.y,mean.z,hrp.x,hrp.y,hrp.z,noga,nora,ranges
1664959677,11176,1664959676,989318950,RTLS/27956,27956,714063,7.769999981,-6.239999771,-14.31999969,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,4,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.0002800000074785203
fpp: -33.7400016784668
rxp: -30.079999923706055
csn: 60.0
cmn: 1548.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.799999952316284
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -35.290000915527344
rxp: -30.700000762939453
csn: 60.0
cmn: 1242.0
toc: 3
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.150000095367432
mean: 4.119999885559082
var: 0.0002570000069681555
fpp: -34.81999969482422
rxp: -27.030000686645508
csn: 72.0
cmn: 1062.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.559999942779541
mean: 3.569999933242798
var: 0.0002899999963119626
fpp: -32.38999938964844
rxp: -30.18000030517578
csn: 60.0
cmn: 1480.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6100000143051147
mean: 1.6299999952316284
var: 0.0003819999983534217
fpp: -33.61000061035156
rxp: -31.100000381469727
csn: 56.0
cmn: 1447.0
toc: 0
ra: 1]"
1664959677,11177,1664959677,43328058,RTLS/27956,27956,714117,2.390000105,-1.159999967,1.559999943,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,5,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.200000047683716
mean: 3.2200000286102295
var: 0.0002800000074785203
fpp: -34.0099983215332
rxp: -30.209999084472656
csn: 76.0
cmn: 1946.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.86000061035156
rxp: -29.100000381469727
csn: 76.0
cmn: 1328.0
toc: 0
ra: 1, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.130000114440918
mean: 4.119999885559082
var: 0.0002570000069681555
fpp: -34.720001220703125
rxp: -26.959999084472656
csn: 76.0
cmn: 1122.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5999999046325684
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -33.040000915527344
rxp: -31.219999313354492
csn: 60.0
cmn: 1601.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.590000033378601
mean: 1.6200000047683716
var: 0.0003929999948013574
fpp: -31.989999771118164
rxp: -29.729999542236328
csn: 56.0
cmn: 1340.0
toc: 0
ra: 1]"
1664959677,11178,1664959677,94287788,RTLS/27956,27956,714168,2.390000105,-1.159999967,1.559999943,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,5,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.200000047683716
mean: 3.2200000286102295
var: 0.0002800000074785203
fpp: -32.70000076293945
rxp: -28.65999984741211
csn: 84.0
cmn: 2169.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.86000061035156
rxp: -29.100000381469727
csn: 76.0
cmn: 1328.0
toc: 0
ra: 1, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.130000114440918
mean: 4.119999885559082
var: 0.0002570000069681555
fpp: -35.689998626708984
rxp: -27.420000076293945
csn: 64.0
cmn: 969.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5999999046325684
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -33.040000915527344
rxp: -31.219999313354492
csn: 60.0
cmn: 1601.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.590000033378601
mean: 1.6200000047683716
var: 0.0003929999948013574
fpp: -31.989999771118164
rxp: -29.729999542236328
csn: 56.0
cmn: 1340.0
toc: 0
ra: 1]"
1664959677,11179,1664959677,169999571,RTLS/27956,27956,714243,7.949999809,-6.420000076,-14.89999962,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,4,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.0002589999930933118
fpp: -34.400001525878906
rxp: -30.579999923706055
csn: 64.0
cmn: 1647.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.86000061035156
rxp: -29.100000381469727
csn: 76.0
cmn: 1328.0
toc: 1
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.150000095367432
mean: 4.119999885559082
var: 0.00026000000070780516
fpp: -34.97999954223633
rxp: -26.8799991607666
csn: 80.0
cmn: 1184.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5799999237060547
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -32.880001068115234
rxp: -30.829999923706055
csn: 64.0
cmn: 1638.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6399999856948853
mean: 1.6200000047683716
var: 0.00039000000106170774
fpp: -33.060001373291016
rxp: -30.549999237060547
csn: 52.0
cmn: 1353.0
toc: 0
ra: 1]"
1664959677,11180,1664959677,220419976,RTLS/27956,27956,714294,7.949999809,-6.420000076,-14.89999962,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,4,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.0002589999930933118
fpp: -34.400001525878906
rxp: -30.579999923706055
csn: 64.0
cmn: 1647.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.400001525878906
rxp: -29.030000686645508
csn: 72.0
cmn: 1343.0
toc: 1
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.150000095367432
mean: 4.119999885559082
var: 0.00026000000070780516
fpp: -34.97999954223633
rxp: -26.8799991607666
csn: 80.0
cmn: 1184.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5799999237060547
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -32.880001068115234
rxp: -30.829999923706055
csn: 64.0
cmn: 1638.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6399999856948853
mean: 1.6200000047683716
var: 0.00039000000106170774
fpp: -33.060001373291016
rxp: -30.549999237060547
csn: 52.0
cmn: 1353.0
toc: 0
ra: 1]"
1664959677,11181,1664959677,295213014,RTLS/27956,27956,714368,7.949999809,-6.420000076,-14.89999962,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,0,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.0002589999930933118
fpp: -34.400001525878906
rxp: -30.579999923706055
csn: 64.0
cmn: 1647.0
toc: 1
ra: 0, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.400001525878906
rxp: -29.030000686645508
csn: 72.0
cmn: 1343.0
toc: 2
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.130000114440918
mean: 4.130000114440918
var: 0.00026000000070780516
fpp: -35.400001525878906
rxp: -26.899999618530273
csn: 68.0
cmn: 1038.0
toc: 0
ra: 0, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.569999933242798
mean: 3.569999933242798
var: 0.00029200001154094934
fpp: -32.41999816894531
rxp: -30.510000228881836
csn: 56.0
cmn: 1446.0
toc: 0
ra: 0, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.5700000524520874
mean: 1.6200000047683716
var: 0.00041000000783242285
fpp: -31.860000610351562
rxp: -29.690000534057617
csn: 68.0
cmn: 1607.0
toc: 0
ra: 0]"
1664959677,11182,1664959677,345279092,RTLS/27956,27956,714419,7.039999962,-5.550000191,-12.19999981,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,4,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.200000047683716
mean: 3.2200000286102295
var: 0.00026000000070780516
fpp: -33.290000915527344
rxp: -29.209999084472656
csn: 60.0
cmn: 1390.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.400001525878906
rxp: -29.030000686645508
csn: 72.0
cmn: 1343.0
toc: 3
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.139999866485596
mean: 4.130000114440918
var: 0.00026000000070780516
fpp: -35.40999984741211
rxp: -26.920000076293945
csn: 80.0
cmn: 1195.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5299999713897705
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -33.45000076293945
rxp: -31.479999542236328
csn: 52.0
cmn: 1342.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6200000047683716
mean: 1.6200000047683716
var: 0.00040600000647827983
fpp: -32.95000076293945
rxp: -30.84000015258789
csn: 64.0
cmn: 1589.0
toc: 0
ra: 1]"
1664959677,11183,1664959677,396286507,RTLS/27956,27956,714470,7.039999962,-5.550000191,-12.19999981,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,4,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.200000047683716
mean: 3.2200000286102295
var: 0.00026000000070780516
fpp: -33.290000915527344
rxp: -29.209999084472656
csn: 60.0
cmn: 1390.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.00021399999968707561
fpp: -33.400001525878906
rxp: -29.030000686645508
csn: 72.0
cmn: 1343.0
toc: 3
ra: 0, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.139999866485596
mean: 4.130000114440918
var: 0.00026000000070780516
fpp: -35.40999984741211
rxp: -26.920000076293945
csn: 80.0
cmn: 1195.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.5299999713897705
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -33.45000076293945
rxp: -31.479999542236328
csn: 52.0
cmn: 1342.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6200000047683716
mean: 1.6200000047683716
var: 0.00040600000647827983
fpp: -32.95000076293945
rxp: -30.84000015258789
csn: 64.0
cmn: 1589.0
toc: 0
ra: 1]"
1664959677,11184,1664959677,451065640,RTLS/27956,27956,714524,2.410000086,-1.120000005,1.610000014,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,5,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.00026000000070780516
fpp: -34.599998474121094
rxp: -30.520000457763672
csn: 68.0
cmn: 1675.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.0002099999983329326
fpp: -33.40999984741211
rxp: -28.520000457763672
csn: 68.0
cmn: 1196.0
toc: 0
ra: 1, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.110000133514404
mean: 4.130000114440918
var: 0.0002610000083222985
fpp: -35.880001068115234
rxp: -26.760000228881836
csn: 92.0
cmn: 1366.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.569999933242798
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -32.119998931884766
rxp: -30.3799991607666
csn: 72.0
cmn: 1839.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6399999856948853
mean: 1.6200000047683716
var: 0.0004020000051241368
fpp: -31.979999542236328
rxp: -29.90999984741211
csn: 60.0
cmn: 1486.0
toc: 0
ra: 1]"
1664959678,11185,1664959677,501272326,RTLS/27956,27956,714575,2.410000086,-1.120000005,1.610000014,-1.230000019,-1,1.00999999,-2.304881811,-0.033859387,0.021816615,5,5,"[id: 7475
pos: 
  x: 0.0
  y: 0.0
  z: 0.0
pr: 1.0
range: 3.2300000190734863
mean: 3.2200000286102295
var: 0.00026000000070780516
fpp: -34.599998474121094
rxp: -30.520000457763672
csn: 68.0
cmn: 1675.0
toc: 0
ra: 1, id: 20276
pos: 
  x: 5.5
  y: 0.0
  z: 0.0
pr: 0.9998999834060669
range: 3.7699999809265137
mean: 3.7699999809265137
var: 0.0002099999983329326
fpp: -33.40999984741211
rxp: -28.520000457763672
csn: 68.0
cmn: 1196.0
toc: 0
ra: 1, id: 9524
pos: 
  x: 2.609999895095825
  y: 2.6700000762939453
  z: 0.0
pr: 0.9998000264167786
range: 4.110000133514404
mean: 4.130000114440918
var: 0.0002610000083222985
fpp: -35.880001068115234
rxp: -26.760000228881836
csn: 92.0
cmn: 1366.0
toc: 0
ra: 1, id: 10548
pos: 
  x: 5.519999980926514
  y: 0.05000000074505806
  z: 1.8600000143051147
pr: 0.9998000264167786
range: 3.569999933242798
mean: 3.569999933242798
var: 0.0002969999914057553
fpp: -32.119998931884766
rxp: -30.3799991607666
csn: 72.0
cmn: 1839.0
toc: 0
ra: 1, id: 15155
pos: 
  x: 3.119999885559082
  y: -2.5899999141693115
  z: 1.850000023841858
pr: 0.9991999864578247
range: 1.6399999856948853
mean: 1.6200000047683716
var: 0.0004020000051241368
fpp: -31.979999542236328
rxp: -29.90999984741211
csn: 60.0
cmn: 1486.0
toc: 0
ra: 1]"
