Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1664959673.4016051,17163,1664959673,400324106,vive/reference,vive/tracker_1,0.45055075246843823,-2.2160651626319874,-0.14858484246345727,-0.1471297612561867,-0.042454192255973994,0.8974416454678698,-0.413700844152192
1664959673.4209673,17164,1664959673,420331717,vive/reference,vive/tracker_1,0.4505467118030977,-2.215933536823905,-0.14850723605492622,-0.1471548747265043,-0.042428762971401135,0.8974527693610954,-0.4136703927860794
1664959673.4416144,17165,1664959673,440317631,vive/reference,vive/tracker_1,0.4506094543389436,-2.215975587222783,-0.14837005755413646,-0.14716733060563641,-0.042468958786430505,0.8974452169235902,-0.41367824947214504
1664959673.4616654,17166,1664959673,460332632,vive/reference,vive/tracker_1,0.45064934010695157,-2.215901210537539,-0.1483848799581886,-0.14719601870525167,-0.042474445440773806,0.8974523826253161,-0.41365187477078724
1664959673.482189,17167,1664959673,480369568,vive/reference,vive/tracker_1,0.45067575201666243,-2.2158299200111586,-0.14845880833974867,-0.14723395597743538,-0.04242168653348502,0.8974513902939865,-0.41364595195978027
1664959673.5019622,17168,1664959673,500331879,vive/reference,vive/tracker_1,0.4505742407407636,-2.2158999618624184,-0.1485571609931906,-0.14718856155394633,-0.04234768243439707,0.8974735412431286,-0.4136216617535748
1664959673.5219944,17169,1664959673,520334482,vive/reference,vive/tracker_1,0.4504193571702435,-2.2159693500375033,-0.14853145418241454,-0.1472110451743065,-0.0423769448249153,0.8974702263829186,-0.41361780102603596
1664959673.5412486,17170,1664959673,540332079,vive/reference,vive/tracker_1,0.4503303639774703,-2.2161181753885772,-0.14844394296391306,-0.1472265575012187,-0.0423974164372406,0.8974614521662614,-0.41362928190008086
1664959673.5614526,17171,1664959673,560321569,vive/reference,vive/tracker_1,0.45037515109520565,-2.2161260905688005,-0.14856510454649152,-0.14721620529611368,-0.04241562211287328,0.8974751301638983,-0.4136013930942929
1664959673.5824604,17172,1664959673,580353260,vive/reference,vive/tracker_1,0.45043998207695846,-2.2159669184113544,-0.1485513510368377,-0.14723370069722092,-0.04244883701115848,0.8974601810304921,-0.41362418914254484
1664959673.6009831,17173,1664959673,600327969,vive/reference,vive/tracker_1,0.4504732388549535,-2.2159686588525753,-0.1485842557992605,-0.14723966173968084,-0.04241144360923946,0.8974797028773738,-0.413583530665391
1664959673.6216247,17174,1664959673,620328665,vive/reference,vive/tracker_1,0.45056580001999014,-2.215899000544002,-0.14853236734247632,-0.14726147985619586,-0.04245686774517887,0.8974676901132663,-0.41359716405182173
1664959673.6418514,17175,1664959673,640372038,vive/reference,vive/tracker_1,0.45074515426929973,-2.2158665552683483,-0.14841471327162248,-0.14730465019063138,-0.04242019265901936,0.8974616433359961,-0.41359872584478097
1664959673.6611402,17176,1664959673,660343409,vive/reference,vive/tracker_1,0.45074980712812285,-2.2160261611243057,-0.1483947302038815,-0.1472911051681141,-0.04249099164289405,0.8974328778324092,-0.41365865930142187
1664959673.6817188,17177,1664959673,680317402,vive/reference,vive/tracker_1,0.45051200976704364,-2.2160071494866376,-0.1486068795805835,-0.14725516344645861,-0.04246638218944107,0.8974371805221911,-0.41366466481550834
1664959673.7016792,17178,1664959673,700312376,vive/reference,vive/tracker_1,0.4505312402516781,-2.216046885262249,-0.1486284499281929,-0.1472341253277652,-0.04250365448804147,0.8974394477510134,-0.41366343653465576
1664959673.7217453,17179,1664959673,720320940,vive/reference,vive/tracker_1,0.45050241959965454,-2.215965861616947,-0.1486204940714102,-0.1471834387285838,-0.042502480920657615,0.8974470087438786,-0.41366514026386114
1664959673.7408648,17180,1664959673,740314245,vive/reference,vive/tracker_1,0.450492727301014,-2.215983452663835,-0.1484771840060355,-0.14715084556104668,-0.042536060186470936,0.8974283710484428,-0.4137137627723628
1664959673.7612004,17181,1664959673,760370493,vive/reference,vive/tracker_1,0.45053514548168994,-2.216047161579699,-0.1484831675177385,-0.1470899618897586,-0.04254466532744286,0.897401875550176,-0.4137919632120066
1664959673.7809863,17182,1664959673,780320168,vive/reference,vive/tracker_1,0.4506019122402598,-2.216067115138381,-0.14849770364003279,-0.14706008128546222,-0.04260136386386282,0.8973828977201697,-0.41383791412428117
1664959673.8013673,17183,1664959673,800315380,vive/reference,vive/tracker_1,0.4505611535639986,-2.21599292142685,-0.1485128650661407,-0.14700890936416527,-0.042546158940153705,0.8973722999977023,-0.41388473070262977
1664959673.821275,17184,1664959673,820343494,vive/reference,vive/tracker_1,0.450577706709389,-2.2159857742851385,-0.1484536248123156,-0.1470225868056801,-0.042632191256510105,0.8973787496562725,-0.41385705743837675
1664959673.8410778,17185,1664959673,840344429,vive/reference,vive/tracker_1,0.45063643991795277,-2.2158538968737247,-0.14847678277342746,-0.1470139977230534,-0.04257774940507,0.8973993899865123,-0.41382095838678634
1664959673.8608708,17186,1664959673,860314608,vive/reference,vive/tracker_1,0.4505414218627355,-2.215906578353767,-0.14844760729496675,-0.14701051421638428,-0.042613615799747456,0.8973730305256176,-0.4138756136680054
1664959673.88156,17187,1664959673,880302191,vive/reference,vive/tracker_1,0.45054594071328213,-2.2158919332171463,-0.14847419906315462,-0.14705336522006585,-0.04258247268837603,0.8973845870985016,-0.4138385945116629
1664959673.9010134,17188,1664959673,900303602,vive/reference,vive/tracker_1,0.4505351450264017,-2.216021979813864,-0.14853915406218698,-0.14703478086072802,-0.042567862768750186,0.8973833576585435,-0.41384938960568113
1664959673.9216907,17189,1664959673,920319796,vive/reference,vive/tracker_1,0.45056398257785557,-2.2160168538760323,-0.14855688220547814,-0.14703862690226682,-0.04254051353077712,0.8973794374465145,-0.4138592993520318
1664959673.9418359,17190,1664959673,940331697,vive/reference,vive/tracker_1,0.4505960933630908,-2.2160942836643764,-0.14851995751226532,-0.14703187229016146,-0.042583014917559614,0.8973937593694201,-0.41382628855871517
1664959673.9615805,17191,1664959673,960337877,vive/reference,vive/tracker_1,0.4505258030055279,-2.216167410251941,-0.14850926176926427,-0.14698404534356269,-0.04257703424264095,0.897372083101731,-0.4138908302605061
1664959673.9810023,17192,1664959673,980323076,vive/reference,vive/tracker_1,0.4505085703388285,-2.215985023899291,-0.14841886540469185,-0.1470011819930614,-0.042570866896929405,0.8973788963259879,-0.4138706125714604
1664959674.001539,17193,1664959674,328064,vive/reference,vive/tracker_1,0.45067617825174167,-2.2159004794095725,-0.1484960443697214,-0.14703263414087125,-0.04256632452230638,0.8974033313803018,-0.41380694764979725
1664959674.020878,17194,1664959674,20318508,vive/reference,vive/tracker_1,0.4506219135270022,-2.2159657615644646,-0.1484667437159275,-0.14703734261616425,-0.04257913202380775,0.8974059961455629,-0.4137981677672277
1664959674.041629,17195,1664959674,40324450,vive/reference,vive/tracker_1,0.45065452540523654,-2.2160608068607135,-0.14853296954158646,-0.1470139636713001,-0.04256663670902844,0.8974160642833979,-0.4137859475256783
1664959674.06096,17196,1664959674,60319424,vive/reference,vive/tracker_1,0.4506083978719737,-2.216048653955638,-0.14854627393842312,-0.14702809746851814,-0.04259594366979563,0.897430203786862,-0.4137472501602818
1664959674.0817971,17197,1664959674,80325365,vive/reference,vive/tracker_1,0.4504869572090848,-2.2160739086391006,-0.14855342642266312,-0.14702534719285804,-0.042631461269902554,0.897414501131397,-0.413778595945448
1664959674.1019366,17198,1664959674,100335836,vive/reference,vive/tracker_1,0.4504291022428555,-2.216065150028131,-0.14858026211567443,-0.14701914465057792,-0.04262764769084362,0.8973894407976595,-0.4138355348541471
1664959674.1216493,17199,1664959674,120363712,vive/reference,vive/tracker_1,0.4505138496284802,-2.2160528845607703,-0.14858466679939264,-0.14701540300834032,-0.042630043326194106,0.89740256608784,-0.413808158759458
1664959674.1415462,17200,1664959674,140275478,vive/reference,vive/tracker_1,0.4505234467151402,-2.2161591300638013,-0.14857938939152238,-0.1470202430684986,-0.04260807414294304,0.8974009480624972,-0.4138122271163093
1664959674.160923,17201,1664959674,160330772,vive/reference,vive/tracker_1,0.45056916209307274,-2.2161094172565563,-0.148593902854127,-0.14703055606034537,-0.042617040318674804,0.8973877348715348,-0.41383629744971545
1664959674.1810398,17202,1664959674,180340052,vive/reference,vive/tracker_1,0.45062377573767365,-2.2159864231974704,-0.14852633917968205,-0.1470932809152059,-0.04263234944371705,0.8974044544268316,-0.41377617109875586
1664959674.2011185,17203,1664959674,200343370,vive/reference,vive/tracker_1,0.4506179790101268,-2.2160777650811068,-0.1485056456847862,-0.1470505464631131,-0.042662192404102656,0.8973926057465624,-0.4138139543971947
1664959674.2217488,17204,1664959674,220323563,vive/reference,vive/tracker_1,0.45058949849281427,-2.2160606067896222,-0.14851738701221384,-0.1470826987392072,-0.04261643281955285,0.8974033227868825,-0.41378402676845294
